participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
10,0.556,0.4,0,0,18.40507745742798,7.362030982971191
10,0.556,0.4,1,10,9.650023579597473,3.8600094318389893
10,0.556,0.7,0,0,9.71421412059239,6.799949884414673
10,0.556,0.7,1,4,8.964318547930038,6.275022983551025
10,0.556,1.0,0,0,5.395117998123169,5.395117998123169
10,0.667,0.4,1,9,7.449897527694702,2.979959011077881
10,0.667,0.7,0,0,7.38997118813651,5.172979831695557
10,0.667,0.7,1,3,11.628455434526717,8.139918804168701
10,0.667,1.0,0,0,5.569090008735657,5.569090008735657
10,0.667,1.0,1,5,9.686975955963137,9.686975955963137
10,0.778,0.4,1,10,5.823791027069092,2.3295164108276367
10,0.778,0.7,0,0,7.456134387425014,5.21929407119751
10,0.778,0.7,1,10,7.832203592572894,5.482542514801025
10,0.778,1.0,0,0,5.242081046104431,5.242081046104431
10,0.778,1.0,1,5,8.940014839172363,8.940014839172363
10,0.889,0.4,1,13,6.519597172737122,2.6078388690948486
10,0.889,0.7,0,0,7.3764135156359,5.163489460945129
10,0.889,0.7,1,10,6.783462762832642,4.748423933982849
10,0.889,1.0,0,0,5.371030807495117,5.371030807495117
10,0.889,1.0,1,5,6.799978017807007,6.799978017807007
10,1.0,0.4,1,13,5.127410292625427,2.050964117050171
10,1.0,0.7,1,13,5.1958785738263815,3.637115001678467
10,1.0,1.0,0,0,3.922033071517944,3.922033071517944
10,1.0,1.0,1,9,7.069109916687012,7.069109916687012
11,0.0,0.4,0,0,10.149664878845215,4.059865951538086
11,0.0,0.4,1,94,17.943766117095947,7.177506446838379
11,0.0,0.7,0,0,9.442897694451469,6.610028386116028
11,0.0,0.7,1,92,10.289285012653895,7.202499508857727
11,0.0,1.0,0,0,5.443212985992432,5.443212985992432
11,0.0,1.0,1,99,6.262991189956665,6.262991189956665
11,0.111,0.4,0,0,14.549847841262817,5.819939136505127
11,0.111,0.4,1,1,9.623007774353027,3.849203109741211
11,0.111,0.7,0,0,9.344332899366107,6.541033029556274
11,0.111,0.7,1,5,9.84855719975063,6.89399003982544
11,0.111,1.0,0,0,6.076523542404175,6.076523542404175
11,0.111,1.0,1,2,7.340066432952881,7.340066432952881
11,0.222,0.4,0,0,19.14625108242035,7.65850043296814
11,0.222,0.4,1,8,10.956140160560608,4.382456064224243
11,0.222,0.7,0,0,10.855732645307269,7.599012851715088
11,0.222,0.7,1,3,7.414352893829347,5.190047025680542
11,0.222,1.0,0,0,6.448433518409729,6.448433518409729
11,0.222,1.0,1,2,4.617981433868408,4.617981433868408
11,0.333,0.4,0,0,19.894657731056213,7.957863092422485
11,0.333,0.4,1,9,11.437632441520691,4.575052976608276
11,0.333,0.7,0,0,10.258454254695348,7.180917978286743
11,0.333,0.7,1,9,8.287012917654856,5.800909042358398
11,0.333,1.0,0,0,6.697994947433472,6.697994947433472
11,0.333,1.0,1,3,8.882962226867676,8.882962226867676
11,0.444,0.4,0,0,18.09482216835022,7.237928867340088
11,0.444,0.4,1,12,8.588717579841614,3.4354870319366455
11,0.444,0.7,0,0,9.151275668825424,6.405892968177795
11,0.444,0.7,1,8,7.117136887141638,4.9819958209991455
11,0.444,1.0,0,0,7.630894184112549,7.630894184112549
11,0.444,1.0,1,4,4.725484490394592,4.725484490394592
11,0.556,0.4,0,0,14.157634973526001,5.6630539894104
11,0.556,0.4,1,12,8.41529756784439,3.3661190271377563
11,0.556,0.7,0,0,8.008520262581962,5.605964183807373
11,0.556,0.7,1,13,4.641433102743966,3.2490031719207764
11,0.556,1.0,0,0,6.988508582115173,6.988508582115173
11,0.556,1.0,1,11,4.49896502494812,4.49896502494812
11,0.667,0.4,1,13,5.184795260429382,2.073918104171753
11,0.667,0.7,1,14,5.325405597686768,3.7277839183807373
11,0.667,1.0,0,0,7.234034776687622,7.234034776687622
11,0.667,1.0,1,12,6.193565130233765,6.193565130233765
11,0.778,0.4,1,13,4.419912695884705,1.7679650783538818
11,0.778,0.7,1,14,4.193692207336426,2.935584545135498
11,0.778,1.0,0,0,6.011480689048767,6.011480689048767
11,0.778,1.0,1,10,4.594440937042236,4.594440937042236
11,0.889,0.4,1,14,3.94142746925354,1.576570987701416
11,0.889,0.7,1,14,4.357857193265643,3.0505000352859497
11,0.889,1.0,1,13,3.657984972000122,3.657984972000122
11,1.0,0.4,1,14,3.829832375049591,1.5319329500198364
11,1.0,0.7,1,14,3.334381239754814,2.334066867828369
11,1.0,1.0,1,14,3.5785080194473267,3.5785080194473267
12,0.0,0.4,0,0,21.731334924697876,8.69253396987915
