unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.4,0.111,7,0.07142857142857142,0.2672612419124244,1,14
0.4,0.111,9,0.14285714285714285,0.3631365196012814,2,14
0.4,0.111,10,0.0,0.0,0,14
0.4,0.111,11,0.07142857142857142,0.2672612419124244,1,14
0.4,0.111,12,0.0,0.0,0,14
0.4,0.111,13,0.14285714285714285,0.3631365196012814,2,14
0.4,0.111,14,0.0,0.0,0,14
0.4,0.111,15,0.6,0.5163977794943222,6,10
0.4,0.111,17,0.0,0.0,0,14
0.4,0.111,18,0.5833333333333334,0.5149286505444373,7,12
0.4,0.111,20,0.35714285714285715,0.4972451580988469,5,14
0.4,0.111,21,0.6923076923076923,0.48038446141526137,9,13
0.4,0.111,24,0.0,0.0,0,13
0.4,0.111,25,0.0,0.0,0,13
0.4,0.111,27,0.35714285714285715,0.4972451580988469,5,14
0.4,0.111,28,0.0,0.0,0,14
0.4,0.111,29,0.0,0.0,0,12
0.4,0.111,30,0.2857142857142857,0.46880723093849547,4,14
0.4,0.111,31,0.0,0.0,0,14
0.4,0.111,34,0.14285714285714285,0.36313651960128146,2,14
0.4,0.111,35,0.21428571428571427,0.42581531362632,3,14
0.4,0.111,36,0.14285714285714285,0.3631365196012814,2,14
0.4,0.222,1,0.21428571428571427,0.42581531362632014,3,14
0.4,0.222,3,0.5,0.5188745216627708,7,14
0.4,0.222,4,0.7142857142857143,0.4688072309384954,10,14
0.4,0.222,5,0.0,0.0,0,14
0.4,0.222,6,0.35714285714285715,0.4972451580988469,5,14
0.4,0.222,7,0.07142857142857142,0.2672612419124244,1,14
0.4,0.222,9,0.5714285714285714,0.5135525910130955,8,14
0.4,0.222,10,0.0,0.0,0,14
0.4,0.222,11,0.5714285714285714,0.5135525910130955,8,14
0.4,0.222,12,0.15384615384615385,0.3755338080994054,2,13
0.4,0.222,13,0.5714285714285714,0.5135525910130955,8,14
0.4,0.222,14,0.07142857142857142,0.2672612419124244,1,14
0.4,0.222,15,0.5,0.5222329678670935,6,12
0.4,0.222,17,0.14285714285714285,0.3631365196012814,2,14
0.4,0.222,18,0.6666666666666666,0.49236596391733095,8,12
0.4,0.222,20,0.5,0.5188745216627708,7,14
0.4,0.222,21,0.7142857142857143,0.4688072309384954,10,14
0.4,0.222,24,0.08333333333333333,0.2886751345948129,1,12
0.4,0.222,25,0.21428571428571427,0.4258153136263201,3,14
0.4,0.222,27,0.5714285714285714,0.5135525910130955,8,14
0.4,0.222,28,0.14285714285714285,0.36313651960128146,2,14
0.4,0.222,29,0.35714285714285715,0.49724515809884684,5,14
0.4,0.222,30,0.35714285714285715,0.4972451580988469,5,14
0.4,0.222,31,0.14285714285714285,0.36313651960128146,2,14
0.4,0.222,34,0.14285714285714285,0.36313651960128146,2,14
0.4,0.222,35,0.35714285714285715,0.4972451580988469,5,14
0.4,0.222,36,0.42857142857142855,0.5135525910130955,6,14
0.4,0.333,1,0.7142857142857143,0.4688072309384954,10,14
0.4,0.333,3,0.8571428571428571,0.36313651960128146,12,14
0.4,0.333,4,0.9285714285714286,0.2672612419124244,13,14
0.4,0.333,5,0.5714285714285714,0.5135525910130955,8,14
0.4,0.333,6,0.7142857142857143,0.4688072309384954,10,14
0.4,0.333,7,0.2857142857142857,0.46880723093849547,4,14
0.4,0.333,9,0.35714285714285715,0.4972451580988469,5,14
0.4,0.333,10,0.14285714285714285,0.36313651960128146,2,14
0.4,0.333,11,0.6428571428571429,0.4972451580988469,9,14
0.4,0.333,12,0.38461538461538464,0.5063696835418333,5,13
0.4,0.333,13,0.42857142857142855,0.5135525910130955,6,14
0.4,0.333,14,0.15384615384615385,0.37553380809940534,2,13
0.4,0.333,15,0.8461538461538461,0.3755338080994054,11,13
0.4,0.333,17,0.5714285714285714,0.5135525910130955,8,14
0.4,0.333,18,0.8333333333333334,0.38924947208076155,10,12
0.4,0.333,20,0.5,0.5188745216627708,7,14
0.4,0.333,21,1.0,0.0,14,14
0.4,0.333,24,0.25,0.45226701686664544,3,12
0.4,0.333,25,0.2857142857142857,0.4688072309384954,4,14
0.4,0.333,27,0.8571428571428571,0.36313651960128146,12,14
0.4,0.333,28,0.42857142857142855,0.5135525910130955,6,14
0.4,0.333,29,0.7142857142857143,0.46880723093849547,10,14
0.4,0.333,30,0.6428571428571429,0.4972451580988469,9,14
0.4,0.333,31,0.42857142857142855,0.5135525910130955,6,14
0.4,0.333,34,0.2857142857142857,0.4688072309384954,4,14
0.4,0.333,35,0.6428571428571429,0.4972451580988469,9,14
0.4,0.333,36,0.42857142857142855,0.5135525910130955,6,14
0.4,0.444,1,0.7142857142857143,0.4688072309384954,10,14
0.4,0.444,3,0.7857142857142857,0.42581531362632014,11,14
0.4,0.444,4,1.0,0.0,14,14
0.4,0.444,5,0.6153846153846154,0.5063696835418333,8,13
0.4,0.444,6,0.9285714285714286,0.2672612419124244,13,14
0.4,0.444,7,0.7857142857142857,0.42581531362632,11,14
0.4,0.444,9,0.8333333333333334,0.38924947208076144,10,12
0.4,0.444,10,0.23076923076923078,0.4385290096535146,3,13
0.4,0.444,11,0.9230769230769231,0.2773500981126145,12,13
0.4,0.444,12,0.6153846153846154,0.5063696835418333,8,13
0.4,0.444,13,1.0,0.0,13,13
0.4,0.444,14,0.3,0.48304589153964794,3,10
0.4,0.444,15,0.8571428571428571,0.36313651960128146,12,14
